
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 enum.py:373(__setattr__)
       66    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        7    0.000    0.000    0.000    0.000 enum.py:69(__setitem__)
       48    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       52    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       20    0.000    0.000    0.000    0.000 enum.py:537(__new__)
        2    0.000    0.000    0.000    0.000 enum.py:881(<listcomp>)
        1    0.000    0.000    0.123    0.123 circuit2.py:339(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5E9CE278}
       20    0.000    0.000    0.000    0.000 enum.py:281(__call__)
       28    0.000    0.000    0.000    0.000 types.py:164(__get__)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       26    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      8/5    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        9    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      5/2    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:722(exec_module)
        6    0.000    0.000    0.000    0.000 enum.py:827(__and__)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        2    0.000    0.000    0.000    0.000 enum.py:791(_create_pseudo_member_)
        6    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        6    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
       24    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       25    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       35    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 enum.py:821(__or__)
        5    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       35    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       41    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
